,Release Year,Title,Origin,categories,attributes,all keywords,Genres,IMDb_Rating,Keywords,Cast
10616,1990,Die Hard 2,American,"['American', ' New', ' British', ' Tea', ' International', ' Snow', ' Bar', ' bar', ' Pan', ' Country', ' Christmas', ' Store', ' Special']",[],"['American', ' New', ' British', ' Tea', ' International', ' Snow', ' Bar', ' bar', ' Pan', ' Country', ' Christmas', ' Store', ' Special']","['Action', 'Thriller']",7.1,"['airport', 'fuel', 'plane', 'police', 'terrorist']",
10617,1990,Dorf Goes Auto Racing,American,['European'],[],['European'],,,,
10618,1990,Downtown,American,['Raw'],[],['Raw'],,,,
10619,1990,Dream Machine,American,"['Bar', ' bar', ' Day', ' Holiday', ' Store']",[],"['Bar', ' bar', ' Day', ' Holiday', ' Store']",,,,
10620,1990,DuckTales the Movie: Treasure of the Lost Lamp,American,"['New', ' Ice Cream', ' Tea', ' Pan', ' Room', ' Day', ' Family']",[],"['New', ' Ice Cream', ' Tea', ' Pan', ' Room', ' Day', ' Family']",,,,
10621,1990,Edward Scissorhands,American,"['New', ' Local', ' Snow', ' Bar', ' bar', ' Room', ' Style', ' Christmas', ' Guest', ' Family']",[],"['New', ' Local', ' Snow', ' Bar', ' bar', ' Room', ' Style', ' Christmas', ' Guest', ' Family']","['Fantasy', 'Romance']",7.9,"['creation', 'inventor', 'magical realism', 'scissors', 'suburb']",
10622,1990,Ernest Goes to Jail,American,"['Bars', ' Bar', ' Polish', ' bar', ' Dinner', ' Style', ' Day', ' Restaurant', ' Special']",[],"['Bars', ' Bar', ' Polish', ' bar', ' Dinner', ' Style', ' Day', ' Restaurant', ' Special']",,,,
10623,1990,The Exorcist III,American,"['New', ' Street', ' Soul', ' Day', ' Pita']",[],"['New', ' Street', ' Soul', ' Day', ' Pita']",,,,
10624,1990,Faces of Death IV,American,"['Bar', ' bar']",[],"['Bar', ' bar']",,,,
10625,1990,The Final Sanction,American,"['American', ' Russian']",[],"['American', ' Russian']",,,,
10626,1990,Fire Birds,American,"['New', ' Style', ' South']",[],"['New', ' Style', ' South']",,,,
10627,1990,The First Power,American,"['Tea', ' Water', ' Knife', ' Special', ' Pita']",[],"['Tea', ' Water', ' Knife', ' Special', ' Pita']",,,,
10628,1990,Flashback,American,['New'],[],['New'],,,,
10629,1990,Flatliners,American,"['Comfort', ' Pan', ' Room', ' Day', ' Honey']",[],"['Comfort', ' Pan', ' Room', ' Day', ' Honey']","['Drama', 'Horror', 'Sci-Fi', 'Thriller']",6.6,"['childhood trauma', 'death', 'medical student', 'memory', 'near death experience']",
10630,1990,Frankenhooker,American,"['New', ' Custom', ' Store']",[],"['New', ' Custom', ' Store']",,,,
10631,1990,Frankenstein Unbound,American,"['Tea', ' Snow', ' Dinner', ' Store']",[],"['Tea', ' Snow', ' Dinner', ' Store']",,,,
10632,1990,The Freshman,American,"['New', ' Fish', ' Small', ' Hawaiian', ' Dinner', ' Room', ' Special', ' Family']",[],"['New', ' Fish', ' Small', ' Hawaiian', ' Dinner', ' Room', ' Special', ' Family']",,,,
10633,1990,Funny About Love,American,"['New', ' Comfort', ' Restaurant']",['romantic'],"['New', ' Comfort', ' Restaurant', ' romantic']",,,,
